id,ra,dec,f606w
662,265.179498,-53.677437,15.2965 
666,265.181497,-53.677121,16.3176 
676,265.17511,-53.67702,16.4022 
678,265.175945,-53.677003,16.5958 
683,265.17403,-53.676914,16.3407 
688,265.181579,-53.676791,14.5135 
689,265.17889,-53.676765,16.5482 
694,265.181126,-53.67668,12.4816 
702,265.17802,-53.676507,14.3627 
703,265.175011,-53.676473,16.2526 
705,265.175142,-53.67641,16.4946 
706,265.175781,-53.676398,16.1553 
707,265.175012,-53.676393,16.5566 
713,265.180814,-53.676274,13.7637 
718,265.180565,-53.676207,16.7235 
719,265.172083,-53.676207,15.873 
726,265.177453,-53.67608,16.5445 
729,265.17375,-53.675993,15.711 
734,265.180766,-53.675886,16.8064 
737,265.176787,-53.67585,16.3883 
748,265.184439,-53.675658,15.1762 
749,265.177389,-53.675664,14.4922 
754,265.176432,-53.675498,14.4567 
758,265.181939,-53.675432,16.7 
759,265.172802,-53.675432,16.0356 
760,265.176839,-53.675424,16.5061 
761,265.174562,-53.675332,15.4587 
763,265.174192,-53.675316,17.1495 
767,265.185186,-53.675256,14.2939 
769,265.171181,-53.675245,16.4887 
775,265.177714,-53.675144,16.1924 
776,265.172363,-53.675152,16.7138 
777,265.173014,-53.675118,16.2373 
778,265.17444,-53.675056,16.4239 
779,265.176807,-53.675044,15.159 
780,265.17876,-53.674997,16.6292 
782,265.169919,-53.674965,12.1923 
784,265.176536,-53.674921,16.4644 
787,265.173126,-53.674854,16.7844 
788,265.176619,-53.67483,16.4055 
789,265.175204,-53.674828,16.7837 
790,265.174031,-53.674812,16.5597 
793,265.177377,-53.674767,16.2341 
795,265.17569,-53.674703,16.3307 
796,265.172951,-53.674703,16.16 
798,265.175834,-53.67468,14.5142 
800,265.169779,-53.674632,14.192 
801,265.176643,-53.674616,16.144 
802,265.174944,-53.674617,15.8666 
804,265.179291,-53.674567,16.2281 
805,265.172606,-53.674546,15.2033 
806,265.170361,-53.674545,16.6667 
807,265.176188,-53.674536,16.7776 
808,265.173373,-53.674517,16.742 
810,265.17636,-53.674506,16.3184 
812,265.176916,-53.67449,16.1755 
815,265.18182,-53.674438,15.6536 
816,265.177578,-53.67442,16.2573 
817,265.18265,-53.674416,16.6186 
823,265.180735,-53.674339,15.6767 
824,265.175793,-53.674335,16.0403 
825,265.175595,-53.674334,16.6193 
828,265.182206,-53.674321,16.4537 
829,265.177598,-53.674305,15.9794 
830,265.172702,-53.674297,16.592 
831,265.178209,-53.674282,16.7528 
833,265.180226,-53.674243,16.4475 
834,265.178526,-53.674214,16.6242 
835,265.173649,-53.674209,12.8672 
836,265.180759,-53.674196,16.5982 
837,265.18369,-53.674182,15.8561 
838,265.171208,-53.674181,16.4476 
840,265.185586,-53.674127,16.6131 
841,265.175249,-53.674128,14.2757 
842,265.173083,-53.674103,14.3763 
851,265.169237,-53.674024,16.4278 
853,265.181292,-53.673998,13.6092 
854,265.173862,-53.67398,16.5906 
856,265.179106,-53.673966,15.404 
857,265.176596,-53.673925,16.779 
858,265.187211,-53.673918,16.1255 
859,265.178752,-53.673895,15.946 
860,265.176453,-53.673867,15.8292 
861,265.173721,-53.673811,16.3032 
864,265.17264,-53.673782,16.2568 
865,265.17504,-53.673761,14.4846 
866,265.185804,-53.673732,15.8642 
868,265.171429,-53.673703,16.046 
874,265.171824,-53.673581,13.6996 
879,265.184794,-53.673502,16.5776 
881,265.177114,-53.67347,16.4759 
889,265.174101,-53.673326,13.2572 
890,265.173297,-53.673298,15.659 
891,265.172611,-53.673271,15.8184 
893,265.176956,-53.673224,16.3241 
896,265.175897,-53.673174,16.6096 
900,265.174675,-53.673128,14.4915 
907,265.17065,-53.672979,16.8 
908,265.176314,-53.672896,16.6293 
915,265.177008,-53.672732,15.6666 
917,265.171625,-53.672694,15.0448 
920,265.178613,-53.672648,16.207 
923,265.173272,-53.672464,13.7372 
927,265.178801,-53.672284,16.3932 
929,265.175781,-53.672276,15.1733 
930,265.170591,-53.672259,16.4419 
932,265.175547,-53.67225,16.6644 
934,265.176009,-53.672249,14.9117 
935,265.171566,-53.672231,14.2995 
936,265.176146,-53.672218,16.3893 
937,265.174929,-53.672215,16.6331 
938,265.184348,-53.672195,16.7038 
939,265.18097,-53.672149,-99.9999 
942,265.175783,-53.672108,21.4223 
943,265.184713,-53.672033,16.7917 
946,265.179603,-53.67195,16.1199 
953,265.179777,-53.671756,15.5592 
959,265.169158,-53.671467,15.7099 
963,265.168165,-53.671359,16.3798 
969,265.183378,-53.671261,14.9304 
971,265.180397,-53.671236,16.4524 
972,265.186033,-53.671226,16.5608 
974,265.173486,-53.671173,15.8893 
975,265.177086,-53.671168,16.4285 
976,265.176276,-53.671154,15.754 
980,265.182055,-53.671019,16.7336 
985,265.178472,-53.670949,16.1514 
987,265.177631,-53.670785,16.2635 
988,265.16961,-53.67077,16.7546 
991,265.175652,-53.670627,16.4977 
996,265.173303,-53.670577,28.115 
1000,265.16947,-53.670507,13.3448 
1003,265.177634,-53.670497,15.8935 
1007,265.171703,-53.670448,13.4389 
1008,265.170593,-53.670424,16.7785 
1011,265.181525,-53.670375,15.7808 
1012,265.17711,-53.670377,16.4772 
1013,265.171592,-53.67037,-99.9999 
1020,265.17392,-53.67012,16.4697 
1025,265.17927,-53.670051,15.1819 
1028,265.179436,-53.670007,15.7989 
1031,265.175344,-53.669959,16.3686 
1035,265.176927,-53.669934,13.5322 
1039,265.186125,-53.66985,16.2455 
1040,265.18217,-53.669839,14.8711 
1041,265.183021,-53.669777,-99.9999 
1048,265.181199,-53.6696,16.1268 
1050,265.184687,-53.669563,16.0442 
1053,265.169469,-53.669521,16.5057 
1062,265.183426,-53.669342,14.0273 
1063,265.175629,-53.669338,15.2419 
1065,265.179835,-53.669306,14.2623 
1069,265.170091,-53.669093,16.0151 
1072,265.177677,-53.669025,16.6288 
1075,265.175963,-53.668869,16.762 
1077,265.171345,-53.668798,16.3792 
1078,265.170501,-53.66876,-99.9999 
1084,265.183405,-53.668609,13.1899 
1086,265.179292,-53.668581,16.2505 
1091,265.180252,-53.668315,15.9469 
1093,265.179743,-53.668289,15.7783 
1098,265.180256,-53.668165,13.0702 
1107,265.178717,-53.667909,16.6927 
1110,265.1834,-53.667884,16.3888 
1114,265.171358,-53.667701,16.635 
1115,265.184102,-53.667689,16.0498 
1127,265.181515,-53.667328,16.6346 
1130,265.183516,-53.667175,16.2344 
1131,265.181727,-53.667174,16.64 
1140,265.180561,-53.666908,16.762 
1145,265.173226,-53.666822,15.6238 
1146,265.180583,-53.666771,15.8449 
1154,265.18112,-53.666528,16.4731 
1156,265.181013,-53.666421,15.8983 
1169,265.177167,-53.665876,16.654 
1172,265.176632,-53.665803,16.595 
8090,265.180542,-53.677222,17.9299 
8092,265.180209,-53.676626,17.9524 
8093,265.180069,-53.676467,18.5301 
8094,265.179744,-53.676512,16.9429 
8095,265.179658,-53.676913,19.0519 
8096,265.179623,-53.677427,16.6656 
8097,265.179348,-53.677124,18.313 
8098,265.179184,-53.677123,18.3269 
8099,265.178931,-53.676797,17.4578 
8101,265.179824,-53.676963,20.8398 
8102,265.1796,-53.676868,20.1277 
8104,265.179434,-53.676905,19.9151 
8105,265.179223,-53.676751,20.5693 
8109,265.183025,-53.676544,17.0365 
8112,265.182303,-53.676778,16.8465 
8113,265.181937,-53.677058,18.2035 
8115,265.181282,-53.676976,18.685 
8117,265.181052,-53.677042,18.1579 
8118,265.18297,-53.676703,20.1282 
8121,265.182766,-53.676808,22.4295 
8125,265.182579,-53.676836,19.484 
8126,265.182153,-53.676734,23.8834 
8131,265.181428,-53.676688,20.1127 
8156,265.174303,-53.676469,17.7992 
