#;NAME;PB;Median;BINCOMP;
;;(days);Mass(Msun);;
1;B0021-72H;2.3577;0.1918;He[fck+03];
2;J0024-7204Q;1.1891;0.2069;He[rvh+15];
3;J0024-7204S;1.2017;0.1028;He[rvh+15];
4;J0024-7204T;1.1262;0.1954;He[cpf+15];
5;J0024-7204U;0.4291;0.1431;He[egh+01];
6;J0024-7204Y;0.5219;0.1605;He[cpf+15];
7;J0034-0534;1.5893;0.1646;He[bkb+95];
8;J0101-6422;1.7876;0.1814;He[kcj+12];
9;J0218+4232;2.0288;0.1957;He[ker96];
10;J0337+1715;1.6294;0.1353;HeT[rsa+14];
11;J0348+0432;0.1024;0.0974;He[afw+13];
12;J0437-4715;5.7410;0.1637;He[vbv+08];
13;J0509+0856;4.9080;0.1307;He(?)[mgf+19];
14;J0557+1550;4.8466;0.2268;He[skl+15];
15;J0605+3757;55.6723;0.2064;He[san16];
16;J0613-0200;1.1985;0.1499;He[lnl+95];
17;J0614-3329;53.5846;0.3242;He[rrc+11];
18;J0621+2514;1.2564;0.1715;He[san16];
19;J0732+2314;30.2301;0.1713;He(?)[mgf+19];
20;J0740+6620;4.7669;0.2247;He[bkk+19];
21;J0751+1807;0.2631;0.1496;He[nsk08];
22;J1012-4235;37.9720;0.3123;He[ckr+15];
23;J1012+5307;0.6047;0.1246;He[cgk98];
24;J1017-7156;6.5119;0.2214;He[kjb+12];
25;J1036-8317;0.3350;0.1635;He[ckr+15];
26;J1045-4509;4.0835;0.1857;He[bhl+94];
27;J1056-7117;9.1388;0.1468;He[nbb+14];
28;J1125-5825;76.4032;0.3096;He[bbb+11];
29;J1125-6014;8.7526;0.3278;He[lfl+06];
30;J1125+7819;15.3554;0.3297;He(?)[tau19];
31;J1137+7528;7.1299;0.1734;He[san16];
32;J1142+0119;1.5835;0.1767;He[san16];
33;J1216-6410;4.0367;0.1820;He[fsk+04];
34;J1231-1411;1.8601;0.2153;He[rrc+11];
35;J1232-6501;1.8633;0.1663;He[eb01b];
36;J1312+0051;38.5038;0.2053;He[san16];
37;J1327-0755;8.4391;0.2605;He[blr+13];
38;J1342+2822B;1.4174;0.2394;He[hrs+07];
39;J1400-1431;9.5475;0.3102;He[skm+17];
40;J1405-4656;8.9564;0.2459;He[btb+15];
