#;NAME;PB;Median;BINCOMP;
;;(days);Mass(Msun);;
1;J0023+0923;0.1388;0.0189;UL[hrm+11];
2;B0021-72I;0.2298;0.0149;UL[fck+03];
3;B0021-72J;0.1207;0.0242;UL[fck+03];
4;J0024-7204O;0.1360;0.0250;UL[fck+03];
5;J0024-7204P;0.1472;0.0199;UL[clf+00];
6;J0024-7204R;0.0662;0.0299;UL[clf+00];
7;J0251+26;0.2040;0.0279;UL;
8;J0610-2100;0.2860;0.0247;UL[pmd+12];
9;J0636+5129;0.0666;0.0079;UL[slr+14];
10;J0952-0607;0.2675;0.0220;UL[bph+17];
11;J1311-3430;0.0651;0.0095;UL[rfs+12];
12;J1446-4701;0.2777;0.0220;UL[kjb+12];
13;J1513-2550;0.1786;0.0188;UL[san16];
14;J1544+4937;0.1208;0.0196;UL[brr+13];
15;J1641+3627E;0.1170;0.0226;UL[hrs+07];
16;J1641+8049;0.0909;0.0468;UL[lsk+18];
17;J1701-3006E;0.1585;0.0352;UL[lfrj12];
18;J1701-3006F;0.2055;0.0241;UL[lfrj12];
19;J1719-1438;0.0907;0.0013;UL[bbb+11a];
20;J1731-1847;0.3111;0.0385;UL[bbb+11];
21;J1745+1017;0.7302;0.0158;UL[bgc+13];
22;J1748-2446ae;0.1707;0.0192;UL[fre08];
23;J1748-2446O;0.2595;0.0406;UL[rhs+05];
24;J1805+06;0.3375;0.0266;UL;
25;J1807-2459A;0.0711;0.0103;UL[lfrj12];
26;J1810+1744;0.1500;0.0498;UL[hrm+11];
27;J1824-2452G;0.1046;0.0108;UL[fre08];
28;J1824-2452J;0.0974;0.0172;UL[fre08];
29;J1824-2452L;0.2257;0.0225;UL[fre08];
30;J1836-2354A;0.2028;0.0196;UL[lrfs11];
31;B1908+00A;0.1410;0.0203;UL[fhn+05];
32;J1953+1846A;0.1767;0.0365;UL[hrs+07];
33;B1957+20;0.3820;0.0248;UL[rcf+06];
34;J2017-1614;0.0978;0.0301;UL[san16];
35;J2051-0827;0.0991;0.0309;UL[sbb96];
36;J2052+1218;0.1100;0.0378;UL;
37;J2115+5448;0.1353;0.0249;UL[san16];
38;J2214+3000;0.4166;0.0154;UL[rrc+11];
39;J2234+0944;0.4197;0.0178;UL[tjl+17];
40;J2241-5236;0.1457;0.0135;UL[kjr+11];
41;J2256-1024;0.2100;0.0345;UL[hrm+11];
42;J2322-2650;0.3230;0.0009;UL[sbb+18];
