#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-08T03:28:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8d44aaa608	
#INFO	-out.max=1000	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&key:c=17:40:42.6174 -53:40:27.448&pos:17:40:42.6174 -53:40:27.448( 1 arcmin J2000)&HTTPPRM:&-c=17:40:42.6174 -53:40:27.448&-c.u=arcmin&-c.r=1&-c.eq=J2000&-c.geom=r&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c=17:40:42.6174 -53:40:27.448
#-c.eq=J2000
#-c.r=  1
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Dup
#-out=FG
#-out=e_FG
#-out=Gmag
#-out=e_Gmag
#-out=FBP
#-out=e_FBP
#-out=BPmag
#-out=e_BPmag
#-out=FRP
#-out=e_FRP
#-out=RPmag
#-out=e_RPmag
#-out=BP-RP
#-out=RV
#-out=e_RV
#-out=Teff
#-out=AG
#-out=E(BP-RP)
#-out=Rad
#-out=Lum
#
#INFO	-c=265.177572-53.674291,rm=1.	
#Constraint -bmark=POST

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_r	(F6.4)	Distance from center (265.17757250000-53.67429111111)[ICRS], at Epoch=J2015.5	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Dup	(I1)	[0/1] Source with duplicate sources (duplicated_source) (21)	[ucd=meta.code.status]
#Column	FG	(E11.4)	G-band mean flux (phot_g_mean_flux)	[ucd=phot.flux;stat.mean;em.opt]
#Column	e_FG	(E11.4)	Error on G-band mean flux (phot_g_mean_flux_error)	[ucd=stat.error;phot.flux;stat.mean]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FBP	(E11.4)	? Mean flux in the integrated BP band (phot_bp_mean_flux)	[ucd=phot.flux;stat.mean;em.opt.B]
#Column	e_FBP	(E11.4)	? Error on the integrated BP mean flux (phot_bp_mean_flux_error) (25)	[ucd=stat.error;phot.flux;stat.mean]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	e_BPmag	(F6.4)	? Standard error of BP mean magnitude (Vega) (added by CDS) (phot_bp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FRP	(E11.4)	? Mean flux in the integrated RP band (phot_rp_mean_flux)	[ucd=phot.flux.density;em.opt.R]
#Column	e_FRP	(E11.4)	? Error on the integrated RP mean flux (phot_rp_mean_flux_error) (28)	[ucd=stat.error;phot.flux;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	e_RPmag	(F6.4)	? Standard error of RP mean magnitude (Vega) (added by CDS) (phot_rp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
#Column	Teff	(F7.2)	? Stellar effective temperature (estimate from Apsis-Priam) (teff_val)	[ucd=phys.temperature.effective]
#Column	AG	(F7.4)	? Estimate of extinction in the G band from Apsis-Priam (a_g_val)	[ucd=phys.absorption.gal]
#Column	E(BP-RP)	(F7.4)	? Estimate of redenning E(BP-RP) from Apsis-Priam (e_bp_min_rp_val)	[ucd=phot.color.excess]
#Column	Rad	(F6.2)	? Estimate of radius from Apsis-FLAME (radius_val)	[ucd=phys.size.radius]
#Column	Lum	(F9.3)	? Esimate of luminosity from Apsis-FLAME (lum_val)	[ucd=phys.luminosity]
_r	_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
arcmin	deg	deg	deg	mas	deg	mas	 	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	 	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum
------	-----------------	-----------------	---------------	-------	---------------	-------	-------------------	----------	-------	---------	------	---------	------	-	-----------	-----------	-------	------	-----------	-----------	-------	------	-----------	-----------	-------	------	-------	-------	-----	-------	-------	-------	------	---------
0.0014	265.1776004843900	-53.6743084073800	265.17760048439	 1.1490	-53.67430840738	 1.6000	5921745296766546176	          	       	         	      	         	      	0	 1.1578e+04	 1.9123e+02	15.5293	0.0179	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0243	265.1781240162500	-53.6745311220100	265.17812401625	 1.2788	-53.67453112201	 5.2164	5921745296766572416	          	       	         	      	         	      	0	 3.1460e+03	 4.1192e+01	16.9440	0.0142	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0293	265.1773848326200	-53.6747664491100	265.17738483262	 1.1407	-53.67476644911	 1.7483	5921745296786362624	          	       	         	      	         	      	0	 8.1411e+03	 1.7727e+02	15.9117	0.0236	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0338	265.1785126988800	-53.6742062611300	265.17851269888	 1.4159	-53.67420626113	 1.6502	5921745296786390144	          	       	         	      	         	      	1	 7.9520e+03	 1.5755e+02	15.9372	0.0215	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0381	265.1766795009300	-53.6746435902900	265.17667950093	13.5179	-53.67464359029	 7.1871	5921745296766570368	          	       	         	      	         	      	0	 9.1446e+03	 2.4428e+02	15.7855	0.0290	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0470	265.1764605799000	-53.6738680179600	265.17646057990	 1.3320	-53.67386801796	 1.3788	5921745296786380672	          	       	         	      	         	      	0	 1.5323e+04	 1.9612e+02	15.2250	0.0139	 1.9261e+04	 1.2788e+03	14.6397	0.0721	 2.1275e+04	 7.5409e+01	13.9422	0.0038	 0.6975	       	     	5095.63	       	       	      	
0.0488	265.1787674153900	-53.6738900181300	265.17876741539	 5.0994	-53.67389001813	 7.2049	5921751172301626880	          	       	         	      	         	      	0	 9.3453e+03	 1.0453e+02	15.7619	0.0121	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0511	265.1777187695800	-53.6751384985100	265.17771876958	 1.2152	-53.67513849851	 1.3838	5921745296786368512	          	       	         	      	         	      	1	 9.0517e+03	 9.2484e+01	15.7965	0.0111	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0519	265.1771056334500	-53.6734713244200	265.17710563345	 0.7880	-53.67347132442	 0.4984	5921745296786381824	          	       	         	      	         	      	0	 5.7795e+03	 5.3311e+01	16.2836	0.0100	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0528	265.1768136697400	-53.6750466926500	265.17681366974	 0.5988	-53.67504669265	 0.6285	5921745296786367744	          	       	         	      	         	      	1	 2.2304e+04	 4.3303e+02	14.8174	0.0211	 5.4192e+04	 4.2094e+02	13.5166	0.0084	 4.3077e+04	 2.8433e+03	13.1763	0.0717	 0.3403	       	     	5095.63	       	       	      	
0.0579	265.1790827231079	-53.6738909561099	265.17910625763	 0.2113	-53.67396692764	 0.2205	5921751172301626752	   -0.6492	 0.2567	    3.238	 0.406	  -17.645	 0.412	0	 1.7849e+04	 1.9023e+02	15.0593	0.0116	 2.0521e+04	 5.3247e+02	14.5709	0.0282	 2.5564e+04	 2.6906e+02	13.7428	0.0114	 0.8280	       	     	5095.63	       	       	      	
0.0598	265.1787557858300	-53.6750004467500	265.17875578583	 1.0282	-53.67500044675	 1.1207	5921745296786362496	          	       	         	      	         	      	0	 5.7388e+03	 1.2352e+02	16.2913	0.0234	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0630	265.1757997391100	-53.6743277645200	265.17579973911	 5.8590	-53.67432776452	 4.4420	5921745296786359040	          	       	         	      	         	      	0	 1.1740e+04	 2.2154e+02	15.5142	0.0205	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0633	265.1792916283000	-53.6745679600800	265.17929162830	 1.0170	-53.67456796008	 0.9551	5921745296786362368	          	       	         	      	         	      	0	 7.8502e+03	 8.4139e+01	15.9512	0.0116	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0661	265.1758338919400	-53.6746809652300	265.17583389194	 0.8791	-53.67468096523	 0.7995	5921745296766567936	          	       	         	      	         	      	1	 3.9460e+04	 2.5605e+02	14.1980	0.0070	 4.4092e+04	 2.4459e+03	13.7405	0.0602	 4.3167e+04	 1.2135e+03	13.1740	0.0305	 0.5664	       	     	5095.63	       	       	      	
0.0675	265.1769182014622	-53.6731525676965	265.17695880834	 0.5260	-53.67322709687	 0.5686	5921745296786381952	   -0.3242	 0.6593	    5.587	 1.051	  -17.310	 1.134	0	 6.7946e+03	 1.2132e+02	16.1079	0.0194	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0701	265.1785324289100	-53.6732696997500	265.17853242891	 3.1104	-53.67326969975	 2.8785	5921751172301639808	          	       	         	      	         	      	0	 4.3656e+03	 9.2138e+01	16.5882	0.0229	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0787	265.1797849187700	-53.6742449688300	265.17978491877	 1.0678	-53.67424496883	 1.8321	5921751172301630976	          	       	         	      	         	      	0	 3.1947e+03	 8.1162e+01	16.9273	0.0276	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0792	265.1786561281700	-53.6731384121700	265.17865612817	28.6330	-53.67313841217	26.6133	5921751172301639936	          	       	         	      	         	      	0	 3.1755e+03	 5.9269e+01	16.9338	0.0203	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0796	265.1759740098800	-53.6752198526600	265.17597400988	 1.0559	-53.67521985266	 7.2550	5921745296786360320	          	       	         	      	         	      	0	 2.8619e+03	 5.1513e+01	17.0467	0.0195	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.0828	265.1773483492824	-53.6755735044506	265.17738985979	 0.4244	-53.67566679293	 0.4396	5921745296786368640	   -0.9430	 0.4581	    5.711	 0.778	  -21.667	 0.799	0	 3.5139e+04	 1.3974e+02	14.3239	0.0043	 4.7115e+04	 4.4866e+03	13.6685	0.1034	 3.4125e+04	 2.0415e+03	13.4292	0.0650	 0.2393	       	     	5143.45	       	       	      	
0.0830	265.1752692265421	-53.6740431913378	265.17525304014	 0.3901	-53.67413100745	 0.3844	5921745296786382208	    1.9615	 0.3080	   -2.227	 0.707	  -20.396	 0.520	0	 4.4840e+04	 2.3950e+02	14.0592	0.0058	 6.3110e+04	 3.0159e+03	13.3511	0.0519	 5.7590e+04	 4.7301e+02	12.8611	0.0089	 0.4901	       	     	5095.63	       	       	      	
0.0830	265.1764336175400	-53.6754993834600	265.17643361754	 0.7102	-53.67549938346	 0.6438	5921745296786360192	          	       	         	      	         	      	0	 3.5185e+04	 1.6236e+02	14.3225	0.0050	 4.1802e+04	 2.8862e+03	13.7984	0.0750	 3.4092e+04	 4.2623e+02	13.4303	0.0136	 0.3681	       	     	5143.45	       	       	      	
0.0853	265.1757251356900	-53.6733833629900	265.17572513569	 8.1059	-53.67338336299	 9.1194	5921745296786365056	          	       	         	      	         	      	0	 3.9538e+03	 4.1138e+01	16.6958	0.0113	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
