#;NAME;PB;Median;BINCOMP;
;;(days);Mass(Msun);;
1;J0024-7204W;0.1329;0.1444;MS[egc+02];
2;J1023+0038;0.1981;0.1570;MS[asr+09];
3;J1048+2339;0.2505;0.3551;MS;
4;J1227-4853;0.2879;0.2478;MS[dcm+14];
5;J1306-4035;1.0972;0.5216;MS[sscs19];
6;J1417-4402;5.3737;0.2579;MS[scc+15];
7;J1431-4715;0.4497;0.1449;MS[ssc+19];
8;J1723-2837;0.6154;0.2771;MS[cls+13];
9;J1740-5340A;1.3541;0.2153;MS[dpm+01];
10;J1748-2446P;0.3626;0.4353;MS[rhs+05];
11;J1816+4510;0.3609;0.1848;MS[ssc+19];
12;J1903+0327;95.1741;1.0837;MS[fbw+11];
13;J2129-0429;0.6352;0.4371;MS;
14;J2215+5135;0.1725;0.2437;MS[hrm+11];
15;J2339-0533;0.1931;0.3026;MS[ssc+19];
